8941	8943 2 ,8944 2 ,8940 1 

8942	8939 3 ,8940 1 ,8943 1 ,8944 1 

9019	9022 2 ,317 1 ,9023 1 

9020	9021 3 ,9016 2 ,9017 2 ,9022 2 ,317 1 ,9023 1 

9021	9020 3 ,9016 2 ,9017 2 ,9022 2 ,317 1 ,9023 1 

9022	9019 2 ,9020 2 ,9021 2 ,317 1 ,9016 1 ,9017 1 ,9023 1 

924	11860 1 ,15416 1 ,2409 1 ,43748 1 ,439 1 ,45881 1 ,6995 1 

9990	13134 1 ,13478 1 ,13877 1 ,34299 1 ,34485 1 ,34642 1 ,37941 1 

9992	9987 4 ,9989 4 ,35667 3 ,9991 2 

9993	9991 5 ,13134 1 ,13478 1 ,13877 1 ,34299 1 ,34485 1 ,34642 1 ,37941 1 

